total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,cost_drag_ann,avg_exposure,strategy,split,cost_bps,display_name
-0.16759117847922178,-0.05732665225116951,0.21806908662894947,-0.16187640730602326,-0.42599204152770287,-0.13457212028089374,0.1222860791826309,0.06163218390804597,0.2771392081736909,medium_term_trend,train,20,Medium-Term Trend
0.2076846906382237,0.0955689777262807,0.24516876665996756,0.4951249277780851,-0.3126597676954679,0.30566445574591916,0.09213051823416507,0.046433781190019195,0.5215930902111324,medium_term_trend,validation,20,Medium-Term Trend
-0.11360937404258187,-0.045610030608093544,0.17737050817294728,-0.1746466065610267,-0.26081271564878117,-0.1748765603495862,0.09216589861751152,0.0464516129032258,0.3191244239631336,medium_term_trend,holdout,20,Medium-Term Trend
-0.10892268101963665,-0.014755359922790423,0.2133335220011601,0.0370145266098432,-0.42599204152770287,-0.03463764221949874,0.10421994884910486,0.05252685421994885,0.35626598465473147,medium_term_trend,full,20,Medium-Term Trend
-0.44069471966871654,-0.17056270288145892,0.41227425388997646,-0.24733696966172233,-0.6363637425039059,-0.2680270598232771,0.0019157088122605363,0.0009655172413793102,1.4744572158365261,rsi_deep_value,train,20,RSI Deep Value
0.04508793370199049,0.021560148356071007,0.42620218281772276,0.2639295224837719,-0.5089115522457324,0.042365217022349105,0.0,0.0,1.5,rsi_deep_value,validation,20,RSI Deep Value
-0.39044615976382036,-0.17438254435677303,0.3147841537752688,-0.45161044104290937,-0.5489529151732992,-0.31766393717341335,0.0,0.0,1.5,rsi_deep_value,holdout,20,RSI Deep Value
-0.6437016388974178,-0.12455536136024647,0.38648217402363116,-0.1505919564607804,-0.7129587600514244,-0.17470205619082724,0.0007672634271099745,0.00038670076726342713,1.489769820971867,rsi_deep_value,full,20,RSI Deep Value
-0.4630225420621171,-0.181366891844702,0.1753592276965119,-1.0519407133520144,-0.49787502178914833,-0.3642819661708425,0.05363984674329502,0.02703448275862069,0.2161558109833972,dual_trend_macro,train,20,Dual Trend Macro
-0.243992171883749,-0.12653609493344864,0.22753993411095372,-0.4802841667924762,-0.3902680231835097,-0.32422870288286343,0.08493282149712092,0.042806142034548945,0.31429942418426104,dual_trend_macro,validation,20,Dual Trend Macro
-0.4598022380686303,-0.21209828810458164,0.19961557905459093,-1.0936291524415918,-0.4981168602748539,-0.42580025897446794,0.10253456221198157,0.051677419354838716,0.3955453149001536,dual_trend_macro,holdout,20,Dual Trend Macro
-0.7807017694016989,-0.17764514751687988,0.19836081768382546,-0.8857551245227304,-0.8009973870425409,-0.2217799338556958,0.0782608695652174,0.03944347826086956,0.3020460358056266,dual_trend_macro,full,20,Dual Trend Macro
-0.17834440995879908,-0.061263189137818475,0.2402840553487841,-0.14327041599387605,-0.4184260814317914,-0.14641340933668623,0.06673052362707534,0.03363218390804598,0.8118348233290763,final_research_ensemble,train,20,Final Research Ensemble
0.08191185302334425,0.03881474747649882,0.2589215479898086,0.276664598397984,-0.33513575807915197,0.1158179828346804,0.05886116442738324,0.029666026871401154,0.9019513755598209,final_research_ensemble,validation,20,Final Research Ensemble
-0.21814240314022437,-0.09086147384755916,0.187344903760701,-0.41499868771761017,-0.3476986671137715,-0.2613224681066382,0.06144393241167435,0.030967741935483864,0.834485407066052,final_research_ensemble,holdout,20,Final Research Ensemble
-0.30496071356267673,-0.0458097705296997,0.2294259557525497,-0.08973264770844927,-0.4335560586021645,-0.10566054751349979,0.06287297527706734,0.03168797953964194,0.8433930093776641,final_research_ensemble,full,20,Final Research Ensemble
